Speed_S,Speed_F,Distance,Relative_deirection,Collision
0.502596622,0.086775929,0.056606038,0.383208997,1
0.707935111,0.091056194,0.120828802,0.78121655,1
0.304488227,0.16247869,0.347184441,0.841180901,1
0.903478748,0.334650789,0.058975399,0.39178053,1
0.395544204,0.5686146,0.084919771,0.716675367,1
0.389389032,0.442586677,0.179921924,0.897920387,1
0.966826673,0.157485871,0.16044561,0.224233115,1
0.416512835,0.3251343,0.305787857,0.815449518,1
0.38235455,0.334772799,0.103067247,0.196625048,1
0.475931216,0.086775929,0.167032012,0.897920387,1
0.49000018,0.328480229,0.151577253,0.786332512,1
0.300795124,0.337686916,0.099262156,0.75337399,1
0.558767134,0.651424324,0.081301569,0.349087793,1
0.840122749,0.616522541,0.109566876,0.696077172,1
0.315157191,0.017453617,0.098394286,0.156034898,1
0.503139972,0.333074601,0.102789929,0.384307658,1
0.497528977,0.442600062,0.173957803,0.81149666,1
0.52675285,0.153149555,0.091236235,0.413997671,1
0.302026158,0.478052093,0.258211455,0.832788495,1
0.158676832,0.251073642,0.118278395,0.953421456,1
0.493751904,0.33469595,0.109711184,0.383899124,1
0.558544934,0.086775929,0.271222634,0.841199743,1
0.029062491,0.089629439,0.126317574,0.288507629,1
0.402048536,0.156618213,0.178916455,0.907126756,1
0.526256426,0.15444993,0.378289803,0.782619445,1
0.725333738,0.484199021,0.236573861,0.72593794,1
0.322079168,0.535996703,0.163598502,0.801802894,1
0.568770085,0.091056194,0.104174975,0.841629716,1
0.300795124,0.486931989,0.202913132,0.833207003,1
0.136796962,0.651580875,0.200190676,0.286270105,1
0.338023895,0.33469595,0.098534367,0.322711319,1
0.214399492,0.330245155,0.092364245,0.75343257,1
0.392026963,0.017453617,0.098046537,0.291154269,1
0.498008868,0.157052017,0.0897371,0.362903829,1
0.497503627,0.420403792,0.263632668,0.926889102,1
0.665898341,0.480783674,0.221579919,0.840720139,1
0.969604503,0.502510373,0.267914515,0.768103078,1
0.659884093,0.47873493,0.193104132,0.943971276,1
0.473117423,0.44214628,0.197009011,0.955530541,1
0.498053541,0.090580609,0.093605222,0.286880152,1
0.478745009,0.578196172,0.198173374,1,1
0.967047401,0.440446545,0.172124395,0.286066787,1
0.667877244,0.084635798,0.223432488,0.872470661,1
0.468427769,0.652541436,0.097726695,0.288100669,1
0.399749532,0.017453617,0.094013042,0.492964747,1
0.657659269,0.412593983,0.12345456,0.372346769,1
0.492813972,0.084635798,0.207490465,0.897920387,1
0.544776041,0.651529697,0.105629056,0.161385106,1
0.138203858,0.157485871,0.186233435,0.974615691,1
0.48062087,0.158353725,0.16297965,0.963538977,1
0.307770985,0.156618213,0.081645664,0.822437735,1
0.133279721,0.444013431,0.139843734,0.897920387,1
0.214780526,0.480783674,0.202774716,0.840901526,1
0.966172033,0.089629439,0.077029707,0.323938463,1
0.966882957,0.336620957,0.096821818,0.163349214,1
0.563878796,0.399148036,0.111782449,0.143469012,1
0.647528609,0.299415937,0.147160895,0.943134806,1
0.576221657,0.446966617,0.282576178,0.813533382,1
0.497903336,0.097640055,0.176034482,0.39207975,1
0.149642685,0.087727099,0.126787426,0.936288116,1
0.722638874,0.434208221,0.296455505,0.875932748,1
0.393785583,0.082971251,0.2086081,0.897920387,1
0.569449261,0.48624869,0.32235288,0.842253608,1
0.140314203,0.160524214,0.156528261,0.824635845,1
0.562100599,0.162261478,0.189096899,0.776050483,1
0.539117392,0.153149555,0.151426397,0.909648989,1
0.497987058,0.488298701,0.151136798,0.338440976,1
0.735683162,0.434739526,0.102084882,0.369977461,1
0.502662653,0.481238998,0.096659861,0.332823472,1
0.665898341,0.447580318,0.235040989,0.897920387,1
0.319777315,0.080117741,0.096379161,0.865052489,1
0.307770985,0.088678269,0.088546391,0.897920387,1
0.512506568,0.158353725,0.104567679,0.121817157,1
0.128003859,0.450846548,0.092474409,0.869364506,1
0.585235797,0.481466667,0.141528635,0.785222444,1
0.302846848,0.487615326,0.160122617,0.833145791,1
0.307770985,0.334322944,0.062508508,0.29319168,1
0.623126774,0.651428896,0.06037654,0.348532593,1
0.512166614,0.435452903,0.131252653,0.197983263,1
0.488124318,0.435096215,0.176174082,0.897920387,1
0.47719851,0.441159922,0.081667048,0.83751749,1
0.807128264,0.084398005,0.123869533,0.790406987,1
0.512506568,0.088678269,0.201652312,0.19674839,1
0.481558802,0.33460854,0.072874796,0.29319168,1
0.586390638,0.651487236,0.12585641,0.289728861,1
0.587796455,0.434026149,0.200695375,0.842411954,1
0.302846848,0.104406482,0.177396154,0.865248401,1
0.846412384,0.334802526,0.115380018,0.092131979,1
0.038689963,0.60878059,0.080071756,0.54092031,1
0.760469293,0.102808863,0.378718599,0.720279874,1
0.596915522,0.47964544,0.290039434,0.962385793,1
0.664526682,0.087727099,0.28282848,0.776598013,1
0.315157191,0.20000988,0.163505945,0.824651482,1
0.128003859,0.087251515,0.0838483,0.897920387,1
0.324381183,0.090580609,0.172218973,0.865179151,1
0.724621385,0.651467076,0.114421358,0.272155646,1
0.83086349,0.084635798,0.103569899,0.874894955,1
0.802876379,0.542744512,0.178498769,0.745797771,1
0.655669732,0.148385368,0.227152916,0.885594827,1
0.394664893,0.084398005,0.192860142,0.897920387,1
0.711036873,0.447580318,0.224574383,0.948862205,1
0.342457523,0.334137399,0.229237895,0.740423128,1
0.892131137,0.550865045,0.340938677,0.797167556,1
0.4979656,0.157052017,0.118527563,0.363619047,1
0.574432019,0.652232563,0.104179737,0.221814251,1
0.498053541,0.090580609,0.089682809,0.286880152,1
0.329503743,0.334663395,0.108988196,0.258756489,1
0.128003859,0.088678269,0.139755609,0.897920387,1
0.312695122,0.130991619,0.193765095,0.86040327,1
0.392637347,0.651457263,0.103208126,0.355755843,1
0.403253013,0.160090019,0.14235825,0.907067472,1
0.906991853,0.430581384,0.351479655,0.740175036,1
0.765711558,0.335709558,0.092896737,0.180010269,1
0.811254781,0.434026149,0.190765236,0.79075411,1
0.542889539,0.447580318,0.245507604,0.955312809,1
0.664978828,0.157485871,0.196772289,0.938414418,1
0.745073315,0.08582476,0.146705078,0.848105856,1
0.484372594,0.089629439,0.165261836,0.897920387,1
