Speed_s,Speed_f,Relative_direction,distance,Collision
2.907560694,0,#DIV/0!,32.35664758,0
2.655655396,0,#DIV/0!,32.28631674,0
2.538018735,0,#DIV/0!,32.22404549,0
2.540771623,0,#DIV/0!,32.15335855,0
2.527726363,0,#DIV/0!,32.09096913,0
2.528060136,0,#DIV/0!,32.02857631,0
2.528393839,0,#DIV/0!,31.97492502,0
2.497569363,0,#DIV/0!,31.9126372,0
2.499117352,0,#DIV/0!,31.85034677,0
2.283810161,0,#DIV/0!,31.78805398,0
2.434195298,0,#DIV/0!,31.72575907,0
2.658415568,0,#DIV/0!,31.67496425,0
2.83839855,0,#DIV/0!,31.60315887,0
2.714904963,0,#DIV/0!,31.53110694,0
2.582536825,0,#DIV/0!,31.45803083,0
2.172655438,0,#DIV/0!,31.39605669,0
2.245183478,904.823925,212.6593572,31.3333051,0
2.246587039,388.9435568,212.6312371,31.29147029,0
2.267985049,388.9669002,142.0817381,3.996828953,0
2.248929234,2.662754349,180.0567143,3.89994349,0
2.250336309,2.661185696,180.0567143,3.779516141,0
2.484671712,1.773370108,169.7076808,3.629357341,0
2.330100061,2.658234368,174.7860788,3.482154061,0
2.236404555,1.771349951,168.3124236,3.38077324,0
2.616325327,3.539993172,175.3588113,3.233462462,0
2.773083256,2.653163905,170.8262954,3.131829262,0
2.547512586,1.768149005,180.0477819,2.935276239,0
2.266116743,2.650225785,180.0477819,2.784164345,0
2.279863925,2.64851437,174.5489539,2.689675441,0
2.415417063,2.646886488,174.8716997,2.542373237,0
2.415667724,2.645178332,174.8705978,2.395123777,0
2.27684577,2.643471828,174.5489539,2.264507232,0
2.412476054,2.641766975,174.8716997,2.117616041,0
2.691698973,2.640063772,175.4097716,1.982848067,0
2.552355045,3.517280164,175.1545179,1.84154482,1 
2.548844932,1.757909707,175.1563139,1.67139531,1 
2.271601887,2.634964031,180.0567143,1.524682885,1 
2.556891272,2.633185945,180.0567143,1.410245465,1 
2.54601139,2.631572409,175.1563139,1.258480605,1 
1.766947781,2.792451124,166.2614457,13.94166066,0
2.381155655,1.964049799,173.7246009,13.8473065,0
2.834522915,2.79173389,174.424701,13.75015591,0
2.782168285,2.638390812,186.9797614,13.59247295,0
2.044895797,1.669382293,168.4299335,13.46481679,0
2.512598719,2.770763204,167.3135756,13.33850633,0
2.811085897,1.669602432,171.755469,13.23399635,0
2.712296065,2.460083966,174.7085588,13.05662385,0
2.90412297,2.654375036,165.6993369,12.93373031,0
2.618517768,2.458782477,165.163309,12.81355922,0
2.615476057,1.669729347,169.8772747,12.634753,0
2.283904878,2.426476515,174.4822893,12.51481576,0
2.554703124,2.427963281,169.6982653,12.40583521,0
2.271415727,2.302074198,166.4912628,12.26024857,0
2.2719222,2.48251534,166.5003634,12.12803198,0
2.033864562,2.450327161,166.8495247,12.01950902,0
2.400141352,2.489327376,175.0445318,11.87364428,0
2.398589758,2.490835655,175.0485485,11.75812465,0
2.696960285,2.638827699,175.2672801,11.61215744,0
2.695217842,2.476822252,175.2664426,11.46619711,0
2.693477088,2.478325531,175.2656044,11.31575946,0
2.392913435,2.445006573,180.0022348,11.16991312,0
2.391368844,2.349985911,175.068572,11.02407352,0
1.723341246,2.499914605,163.3933237,10.90370019,0
1.854309045,2.501432659,154.2992445,10.76193858,0
2.296211612,2.368436221,149.4976167,10.6853045,0
2.424137619,2.511385645,151.6122232,10.57694148,0
2.587076444,2.641319657,159.7776864,10.42106512,0
2.010513811,2.515281233,168.6998849,10.31590046,0
2.399810275,2.467884079,180.0090396,10.1691872,0
2.585948541,1.81715455,169.7144375,10.04802943,0
3.129242573,2.502547942,166.2680001,9.901312383,0
3.124763128,2.727531185,161.1871237,9.763028597,0
2.832658298,2.501180409,165.9189949,9.605036413,0
2.274525563,2.502707283,169.6423956,9.455642574,0
2.085704091,2.469309245,180.0089858,9.323514373,0
2.004613974,2.470837808,173.6557147,9.202734042,0
2.294628223,2.47236779,174.4911917,9.067692973,0
2.082565009,2.473899194,180.0089858,8.946800693,0
2.671948851,3.251931467,182.85241,8.80054503,0
