Speed_s,Speed_f,Relative_direction,distance,Collision
2.391540621,2.901085045,175.4123628,12.44548926,0
2.315441744,2.128860603,165.8936015,12.31285374,0
2.287204007,2.927646891,168.6473228,12.16838479,0
2.402619954,2.51597365,171.1554588,12.0495092,0
2.306595901,3.311662855,179.9210734,11.90167752,0
2.602858906,2.482044506,178.0197409,11.75470569,0
2.43793947,2.480563833,179.9210734,11.60607562,0
2.657555326,3.30507679,176.0171199,11.44525758,0
2.604297944,2.96425608,181.6746955,11.31214682,0
2.65861981,2.508884637,179.6705708,11.14698751,0
2.860728433,3.052378122,185.8017888,10.97571142,0
2.655932065,3.327599153,179.6714109,10.83968079,0
2.910774379,3.324747643,179.7153086,10.66542932,0
2.655120508,3.299688239,176.008428,10.50329799,0
2.908094007,2.169037997,180.0317602,10.32193369,0
2.654309,2.505729703,180.0514638,10.16001555,0
2.862654054,3.072582002,186.6022478,10.00904105,0
2.574549173,2.291619746,171.5310676,9.873011148,0
2.863295847,3.992637161,188.8938422,9.700767293,0
2.907622388,2.605099165,183.9593454,9.573707453,0
3.035961827,3.325205923,179.8734192,9.375415666,0
3.122965227,3.013963656,182.0140951,9.215080237,0
3.096636491,2.507365938,176.280546,9.044414363,0
3.228018274,3.102482478,172.3591056,8.86041052,0
3.101462872,2.507933657,175.8984636,8.702066446,0
3.103880295,3.323359188,176.280546,8.528706117,0
2.870962204,3.031763977,181.8612557,8.370216912,0
2.909755796,3.322712932,179.7147976,8.18827706,0
2.910558562,2.911439296,179.8650739,8.034872638,0
3.131845952,3.041895339,181.8497785,7.851305403,0
3.036237236,2.911540917,180.1889141,7.681079196,0
2.908677986,3.317828748,179.8650739,7.506923963,0
2.956973164,3.292317941,174.5307617,7.344871272,0
3.034572227,3.289697318,176.4929901,7.173978924,0
3.421669953,3.287070709,176.8948947,6.990806645,0
3.420480997,3.284447244,176.8949708,6.807770106,0
3.290404295,3.060597898,180.1506668,6.603853936,0
3.005859165,3.30677483,176.1264513,6.421017028,0
3.071357505,3.304152999,174.3709987,6.25636365,0
3.125586437,2.259914541,176.7480502,6.083877056,0
3.246086224,3.304664182,177.0329611,5.900624403,0
3.153354703,3.302043303,180.3325725,5.749115587,0
3.301300503,2.270472977,175.4094788,5.566184865,0
3.295410628,3.302284136,175.4102637,5.384630441,0
3.444464668,3.299664321,172.2169006,5.231523271,0
3.355108208,3.273919573,170.0982497,5.049341082,0
3.348417235,2.687853558,173.639593,4.867484585,0
3.419158918,2.89119194,172.2169006,4.685961276,0
3.411672118,3.294665942,172.214508,4.522772178,0
3.404208334,2.860425537,168.5036303,4.353569816,0
3.199255958,2.858427701,169.6819893,4.173135813,0
3.073433589,3.473698781,165.6769705,4.004674247,0
3.145985419,2.482523301,163.7798799,3.847555298,0
3.179975298,3.284904368,166.1258508,3.672996615,0
