Speed_S,Speed_F,Distance,Relative_Direction,Collision
0.496868952,0.119797999,0.157596943,0.39207975,1
0.147890841,0.104988111,0.098403294,0.936288116,1
0.722067475,0.622628581,0.3023398,0.875932748,1
0.392536704,0.097882905,0.196749563,0.897920387,1
0.568562271,0.700376693,0.333467753,0.842253608,1
0.13854314,0.213746512,0.134150985,0.824635845,1
0.56119847,0.216341972,0.173297619,0.776050483,1
0.538167915,0.20272882,0.12801868,0.909648989,1
0.496952848,0.703439397,0.12767059,0.338440976,1
0.735138635,0.623422349,0.068711496,0.369977461,1
0.501638074,0.692892248,0.062190765,0.332823472,1
0.665210049,0.642606406,0.22852119,0.897920387,1
0.31837597,0.093619781,0.061853372,0.865052489,1
0.306344905,0.106409152,0.052438591,0.897920387,1
0.511502269,0.210503816,0.071695752,0.121817157,1
0.126207436,0.647486132,0.057159964,0.869364506,1
0.58438133,0.693232383,0.116121834,0.785222444,1
0.301410623,0.702418439,0.138471305,0.833145791,1
0.306344905,0.473400648,0.02114175,0.29319168,1
0.622350367,0.947154813,0.018579181,0.348532593,1
0.511161615,0.624488129,0.103770379,0.197983263,1
0.487069789,0.623955239,0.157764737,0.897920387,1
0.476121472,0.633014377,0.044169804,0.83751749,1
0.806730924,0.100014466,0.094896065,0.790406987,1
0.511502269,0.106409152,0.188388891,0.19674839,1
0.480490747,0.473827327,0.033601752,0.29319168,1
0.58553855,0.947241974,0.097284239,0.289728861,1
0.586947263,0.622356567,0.187238678,0.842411954,1
0.301410623,0.129906996,0.159233636,0.865248401,1
0.846095974,0.47411714,0.084691894,0.092131979,1
0.036709541,0.88343853,0.042252306,0.54092031,1
0.759975829,0.127520164,0.401217844,0.720279874,1
0.596085116,0.690511482,0.294627853,0.962385793,1
0.663835564,0.104988111,0.285960479,0.776598013,1
0.313746327,0.272737832,0.142537975,0.824651482,1
0.126207436,0.10427759,0.046791611,0.897920387,1
0.322989322,0.109251234,0.153010803,0.865179151,1
0.724054069,0.947211854,0.083539611,0.272155646,1
0.830515047,0.100369727,0.070496446,0.874894955,1
0.802470279,0.784781073,0.16055895,0.745797771,1
0.654960368,0.195611158,0.219039936,0.885594827,1
0.393417826,0.100014466,0.177820936,0.897920387,1
0.710441572,0.642606406,0.215940608,0.948862205,1
0.341102902,0.473123445,0.221546025,0.740423128,1
0.891908914,0.796913095,0.355807386,0.797167556,1
0.496931345,0.208559073,0.08847516,0.363619047,1
0.573555295,0.948355487,0.071229455,0.221814251,1
0.497019467,0.109251234,0.053804535,0.286880152,1
0.328122435,0.47390928,0.077009095,0.258756489,1
0.126207436,0.106409152,0.113990705,0.897920387,1
0.311279187,0.169625012,0.178908666,0.86040327,1
0.391386102,0.947197194,0.070061605,0.355755843,1
0.402023638,0.213097827,0.11711901,0.907067472,1
0.906800244,0.617210111,0.36847736,0.740175036,1
0.765228894,0.47547224,0.05766759,0.180010269,1
0.810865942,0.622356567,0.175302916,0.79075411,1
0.541947833,0.642606406,0.241101782,0.955312809,1
0.664288642,0.209207247,0.182523233,0.938414418,1
0.744548133,0.102146028,0.122343781,0.848105856,1
0.483310336,0.107830194,0.144648509,0.897920387,1
0.046361903,0.208559073,0.123561405,0.079675899,1
0.556633565,0.947121327,0.038307627,0.308038466,1
0.126207436,0.106409152,0.103617965,0.897920387,1
0.46866119,0.700376693,0.397558815,0.779149023,1
0.482370472,0.948384389,0.074255696,0.290950599,1
0.552105138,0.20337633,0.121420346,0.839665157,1
0.165025608,0.52112697,0.125503384,0.999092635,1
0.966979514,0.105698632,0.147486594,0.286066787,1
0.308812046,0.635145939,0.164753807,0.897920387,1
