Speed_S,Speed_F,Distance,Relative_deirection,Collision
0.178878499,0.957416645,0.072139047,0.171263413,0
0.768694281,0.996578499,0.07221317,0.123635356,1
0.689208733,0.47863838,0.073071394,0.196821003,0
0.518384956,0.546923373,0.073149286,0.887017878,1
0.971017116,0.331500756,0.074032922,0.246025178,1
0.977815038,0.902528865,0.075274178,0.235469568,1
0.835872464,0.553367071,0.075618083,0.179117384,1
0.273962904,0.52174926,0.075662511,0.68049221,0
0.349963145,0.811433585,0.075975626,0.824882196,1
0.543484486,0.19786305,0.075984363,0.850685635,0
0.402776614,0.538640589,0.076086712,0.861123011,1
0.884302821,0.957186191,0.076298207,0.244724493,0
0.978639825,0.508406167,0.076367521,0.194121611,1
0.992582398,0.198541528,0.076475953,0.189332361,1
0.290464018,0.957400924,0.076608661,0.198931999,0
0.674225186,0.195827824,0.076637594,0.833338318,1
0.178761855,0.80059779,0.077574743,0.166640981,0
0.416001401,0.800112691,0.0783102,0.280247335,1
0.668490723,0.896728663,0.078373878,0.889386359,1
0.88030343,0.970284294,0.079511778,0.126637658,0
0.664667127,0.716964538,0.079656831,0.221497921,0
0.488318782,0.997203699,0.079824754,0.217266274,0
0.560227339,0.643974221,0.08012084,0.257697394,0
0.97862448,0.508406167,0.080337891,0.194193232,0
0.514613273,0.688765702,0.080497849,0.159360213,0
0.970822014,0.888609328,0.08061862,0.284693008,0
0.525928322,0.812768296,0.081301696,0.223013715,0
0.45062491,0.643140563,0.082150933,0.234097442,1
0.569211318,0.997979583,0.082166892,0.240704739,1
0.420332047,0.846950365,0.082382423,0.213999146,1
0.971017116,0.511232306,0.08247873,0.246025178,1
0.777465585,0.502753891,0.082532714,0.802851715,1
0.664165859,0.642473141,0.083061554,0.264991759,1
0.664190592,0.647655126,0.083440695,0.267713788,1
0.328813399,0.814749077,0.083527904,0.242803172,0
0.97827511,0.522536858,0.084285941,0.195842009,1
0.567521827,0.975647237,0.084359121,0.394958815,1
0.212193258,0.845392656,0.084452863,0.13993428,0
0.90463357,0.969304999,0.085515078,0.261047008,0
0.357973034,0.196506198,0.085923905,0.188718574,0
0.416157457,0.64326458,0.086396377,0.217535239,0
0.770689262,0.996196082,0.087258131,0.089471665,1
0.664607928,0.874247501,0.087506527,0.203093382,0
0.416703654,0.643342205,0.087745181,0.208405812,0
0.88030343,0.997397007,0.088256983,0.150206729,0
0.392873707,0.522219391,0.088796333,0.705404125,0
0.731948044,0.748564445,0.088975912,0.987796015,1
0.524034177,0.80001801,0.089056815,0.161664629,0
0.882698151,0.957962321,0.089292734,0.313778666,1
0.444202259,0.957193183,0.089420776,0.245876186,0
0.985072296,0.508406167,0.089601347,0.168468205,0
0.970518566,0.512174352,0.089756632,0.252729749,0
0.771607602,0.191758312,0.09006273,0.875243917,1
0.550631941,0.900208717,0.090173891,0.920574522,0
0.420449094,0.82149755,0.090268509,0.272114063,0
0.415260139,0.957339216,0.090529006,0.274213832,0
0.970822014,0.542321551,0.090618679,0.286045841,0
0.569518508,0.21460878,0.090650292,0.830632529,0
0.568827335,0.643615873,0.090904858,0.230516736,1
0.398924116,0.674479413,0.090909509,0.845185811,1
0.970020918,0.331500756,0.09092651,0.300383236,1
0.297223184,0.800083529,0.091276821,0.169693404,0
0.500221244,0.546693266,0.091303377,0.370663104,0
0.639888791,0.643120712,0.09269931,0.846792604,1
0.526871243,0.642942911,0.093259105,0.19548113,0
0.329041491,0.659280777,0.093277174,0.268218945,0
0.978260075,0.522536858,0.093540595,0.195913759,0
